title	url	bucket	genre	difficulty
Zdeňkův Český Podcast	https://www.youtube.com/@ZdenkuvCeskyPodcast/videos	reaction	Podcast, Comprehensible Input	Beginner
Katka My Irish Life	https://www.youtube.com/@KatkaMyIrishLife/videos	vlog	Vlog, Cooking, Daily Life	Beginner
Česká televize	https://www.youtube.com/@CeskaTelevizeTV/videos	culture	Television, Random Videos	Beginner
PedrosGame	https://www.youtube.com/@PedrosGame/videos	gaming	Video Games, Gameplay	Beginner
JdemeŽrát	https://www.youtube.com/@JdemeZrat/videos	food	Food	Beginner
slowczech	https://www.youtube.com/@slowczech/videos	learner	Comprehensible Input	Super Beginner
Metrobus – hromadná doprava	https://www.youtube.com/@metrobuscz/videos	lifestyle	Public Transport, News	Intermediate
Geek Boy	https://www.youtube.com/@geekboy/videos	tech	Computers, Technology	Intermediate
Spokojený pes	https://www.youtube.com/channel/UC4ha5qONsQlzxVmoRNyXnCw/videos	other	Animals	Intermediate
naše ostrava	https://www.youtube.com/@naseostrava/videos	travel	Travel, Czech Republic	Beginner
Czech with Michal	https://www.youtube.com/@CestinasMichalem/videos	reaction	Podcast, Comprehensible Input	Beginner
David Dobrík	https://www.youtube.com/@DavidDrobik/videos	vlog	Vlog, Life in the US	Intermediate
Životy slavných	https://www.youtube.com/@ZivotySlavnych/videos	news	Documentaries	Intermediate
MAD BBQ	https://www.youtube.com/@madbbq/videos	food	Food, Reactions	Intermediate
Czech with a Praguer	https://www.youtube.com/@CzechwithaPraguer/videos	learner	Comprehensible Input, Teaching, Language	Super Beginner
Tom Brzobohatý	https://www.youtube.com/@brzobohatytom/videos	lifestyle	Real Estate	Intermediate
Vojta Dalekorej	https://www.youtube.com/@wrtech/videos	tech	Tech, Technology, Gadgets, Reviews	Intermediate
Theresa Blueberry CZ	https://www.youtube.com/@theresablueberrycz/videos	other	Streamer	Intermediate
Martin & Tyna	https://www.youtube.com/@martinandtyna/videos	travel	Travel, Vlog	Beginner
Agraelovo Stream Šílenství	https://www.youtube.com/@AgraelovoStreamSilenstvi/videos	reaction	Livestream, Video Games, Gameplay	Intermediate
Peca	https://www.youtube.com/@Pecawashere/videos	vlog	Vlog, Travel	Intermediate
Tom Show	https://www.youtube.com/@TheKoranTV/videos	gaming	Video Games, Shortfilms	Intermediate
Pozor Vlak	https://www.youtube.com/@POZORVLAK/videos	news	News, Public Transit, Trains	Intermediate
Kuchyně Lidlu	https://www.youtube.com/@CZkuchynelidlu/videos	food	Food, Cooking	Intermediate
Czech by Zuzka	https://www.youtube.com/@CzechbyZuzka/videos	learner	Comprehensible Input, Teaching, Czech Language	Super Beginner
Patrik Fiala	https://www.youtube.com/@patrikfiala/videos	lifestyle	Real Estate	Intermediate
Petr Mára	https://www.youtube.com/@petrmara/videos	tech	Tech, Technology, Gadgets, Reviews	Intermediate
Neurazitelny.cz	https://www.youtube.com/@Neurazitelny/videos	other	Education, Lectures	Advanced
Vandrák Travel	https://www.youtube.com/@VandrakTravel/videos	travel	Travel, Vlog, Outdoors	Beginner
Lukefry	https://www.youtube.com/@lukefrycz/videos	reaction	Comentary, Infotainment	Intermediate
Mishka Travels	https://www.youtube.com/@MishkaTravels/videos	vlog	Vlog, Travel	Intermediate
Čtu pro Tebe	https://www.youtube.com/@ctuprotebe/videos	culture	Audiobooks (like, it's a guy who reads books)	Intermediate
